ID,Pred
2014_1107_1110,0.3979525864124298
2014_1107_1112,0.055401138961315155
2014_1107_1113,0.2509904205799103
2014_1107_1124,0.17776136100292206
2014_1107_1140,0.24460554122924805
2014_1107_1142,0.6760465502738953
2014_1107_1153,0.0997830331325531
2014_1107_1157,0.5074260234832764
2014_1107_1160,0.2620219886302948
2014_1107_1163,0.14117933809757233
2014_1107_1166,0.1113906130194664
2014_1107_1173,0.2713082730770111
2014_1107_1174,0.23264583945274353
2014_1107_1181,0.1152653694152832
2014_1107_1184,0.3254556953907013
2014_1107_1196,0.05496739223599434
2014_1107_1203,0.1853713095188141
2014_1107_1211,0.12105407565832138
2014_1107_1217,0.11774328351020813
2014_1107_1234,0.2432221621274948
2014_1107_1235,0.10613004863262177
2014_1107_1242,0.12439357489347458
2014_1107_1243,0.3067066967487335
2014_1107_1246,0.16919219493865967
2014_1107_1257,0.07312161475419998
2014_1107_1264,0.19735313951969147
2014_1107_1269,0.16014178097248077
2014_1107_1272,0.19545164704322815
2014_1107_1273,0.230330690741539
2014_1107_1276,0.1201590746641159
2014_1107_1277,0.1146666407585144
2014_1107_1291,0.5892868638038635
2014_1107_1295,0.16467921435832977
2014_1107_1300,0.15118861198425293
2014_1107_1301,0.3247082829475403
2014_1107_1304,0.3693186938762665
2014_1107_1307,0.09445487707853317
2014_1107_1308,0.1924717277288437
2014_1107_1314,0.15811537206172943
2014_1107_1326,0.16383381187915802
2014_1107_1328,0.1778864860534668
2014_1107_1329,0.23997603356838226
2014_1107_1332,0.19981957972049713
2014_1107_1338,0.16423480212688446
2014_1107_1344,0.2461390495300293
2014_1107_1361,0.07748525589704514
2014_1107_1372,0.0968761220574379
2014_1107_1386,0.20117789506912231
2014_1107_1387,0.12866094708442688
2014_1107_1390,0.28804007172584534
2014_1107_1393,0.07045269012451172
2014_1107_1397,0.2685416340827942
2014_1107_1400,0.18127809464931488
2014_1107_1409,0.32990944385528564
2014_1107_1411,0.46450936794281006
2014_1107_1417,0.12146322429180145
2014_1107_1418,0.37405312061309814
2014_1107_1433,0.15644852817058563
2014_1107_1437,0.07168970257043839
2014_1107_1438,0.07777001708745956
2014_1107_1444,0.32126930356025696
2014_1107_1451,0.4002327620983124
2014_1107_1454,0.4694828987121582
2014_1107_1455,0.03144435957074165
2014_1107_1458,0.09074656665325165
2014_1107_1459,0.44918251037597656
2014_1107_1462,0.32392147183418274
2014_1110_1112,0.07973900437355042
2014_1110_1113,0.3311306834220886
2014_1110_1124,0.24207676947116852
2014_1110_1140,0.32358789443969727
2014_1110_1142,0.755085825920105
2014_1110_1153,0.14071355760097504
2014_1110_1157,0.6034755706787109
2014_1110_1160,0.3440665900707245
2014_1110_1163,0.19540457427501678
2014_1110_1166,0.1562560498714447
2014_1110_1173,0.3548624515533447
2014_1110_1174,0.3093479573726654
2014_1110_1181,0.1614079624414444
2014_1110_1184,0.4161618649959564
2014_1110_1196,0.07913066446781158
2014_1110_1203,0.2515975534915924
2014_1110_1211,0.16907115280628204
2014_1110_1217,0.164693221449852
2014_1110_1234,0.32194823026657104
2014_1110_1235,0.14923247694969177
2014_1110_1242,0.17347382009029388
2014_1110_1243,0.39524927735328674
2014_1110_1246,0.23127934336662292
2014_1110_1257,0.10438387095928192
2014_1110_1264,0.2664598822593689
2014_1110_1269,0.21978627145290375
2014_1110_1272,0.26411163806915283
2014_1110_1273,0.3065744638442993
2014_1110_1276,0.16788899898529053
2014_1110_1277,0.16061308979988098
2014_1110_1291,0.679457426071167
2014_1110_1295,0.22555987536907196
2014_1110_1300,0.20832571387290955
2014_1110_1301,0.41533446311950684
2014_1110_1304,0.4638434052467346
2014_1110_1307,0.13352395594120026
2014_1110_1308,0.26042377948760986
